annual_income,loan_purpose,loan_amount,interest_rate
140000,debt_consolidation,28675,10.9
45000,debt_consolidation,12000,16.02
48370,credit_card,16000,9.43
72000,credit_card,9600,19.42
70000,debt_consolidation,16000,21.45
75000,credit_card,9000,6.72
106000,debt_consolidation,20000,7.35
75000,debt_consolidation,5000,9.44
35000,debt_consolidation,11000,11.99
78000,debt_consolidation,30000,10.9
45000,debt_consolidation,28000,25.82
80000,debt_consolidation,14000,6.08
64000,credit_card,16000,14.07
55000,credit_card,15000,19.42
94000,debt_consolidation,22000,11.99
100000,debt_consolidation,15000,6.08
45000,debt_consolidation,10000,17.09
70000,credit_card,25000,5.32
60000,debt_consolidation,15000,14.07
65000,debt_consolidation,10000,10.41
151000,debt_consolidation,23475,13.58
53000,credit_card,17000,5.32
85000,debt_consolidation,9600,14.08
62000,debt_consolidation,10000,21.45
69000,debt_consolidation,7500,17.09
39053,credit_card,5200,11.99
111000,debt_consolidation,12000,14.07
98000,debt_consolidation,35000,17.47
98728,credit_card,15400,24.85
40000,home_improvement,6300,15.04
34000,debt_consolidation,7000,9.43
42000,home_improvement,11000,9.43
170000,debt_consolidation,16400,16.02
54000,debt_consolidation,11200,7.97
65000,debt_consolidation,17000,9.43
58000,debt_consolidation,10000,9.44
150000,debt_consolidation,28000,18.06
70000,debt_consolidation,16000,21.85
60000,debt_consolidation,10975,6.07
27000,credit_card,4000,6.71
68640,debt_consolidation,26750,20
106080,debt_consolidation,35000,18.06
52000,home_improvement,4000,6.07
22644.7,debt_consolidation,2800,9.93
45000,debt_consolidation,15000,10.9
56500,debt_consolidation,19000,13.58
75000,debt_consolidation,13000,13.59
115000,credit_card,35000,15.05
53000,debt_consolidation,22000,17.09
74000,credit_card,20000,17.47
120000,credit_card,35000,9.93
85000,debt_consolidation,9000,16.01
65000,debt_consolidation,18000,20.39
80000,debt_consolidation,20000,7.97
162000,credit_card,15000,11.98
95000,credit_card,20000,9.93
105000,debt_consolidation,25000,19.42
90000,credit_card,14000,11.99
55000,debt_consolidation,4200,10.9
17000,debt_consolidation,8000,14.08
54000,debt_consolidation,10000,19.42
51000,debt_consolidation,20000,17.47
74000,debt_consolidation,19600,10.42
80000,credit_card,28000,14.07
100000,debt_consolidation,20000,13.58
75000,debt_consolidation,12000,13.58
50000,debt_consolidation,12000,14.07
38000,debt_consolidation,3500,16.02
72000,debt_consolidation,9600,18.06
93000,debt_consolidation,30000,20
300000,debt_consolidation,25000,7.97
81000,credit_card,10000,6.72
49000,debt_consolidation,26400,11.98
60000,credit_card,10000,10.42
45000,debt_consolidation,8000,11.99
125000,debt_consolidation,30000,16.02
84000,debt_consolidation,11100,30.17
84000,credit_card,17500,11.99
14300,debt_consolidation,1000,14.07
68200,debt_consolidation,12000,17.09
60000,debt_consolidation,16000,10.42
36900,debt_consolidation,10000,9.43
100000,credit_card,12000,5.32
43000,credit_card,10000,9.44
105000,credit_card,16000,6.72
65000,debt_consolidation,19000,11.99
51000,debt_consolidation,6000,13.58
100000,debt_consolidation,16000,19.42
75000,credit_card,14400,17.09
110000,debt_consolidation,22000,5.32
60000,debt_consolidation,16000,6.08
52000,debt_consolidation,10000,10.42
65000,credit_card,10000,16.02
60000,debt_consolidation,20000,10.91
43000,credit_card,12000,16.01
43125,debt_consolidation,8000,6.07
155000,debt_consolidation,30000,7.97
50000,debt_consolidation,12000,11.99
50000,debt_consolidation,2800,16.02
70000,credit_card,12500,13.58
54902,debt_consolidation,8000,13.58
75000,credit_card,9600,7.34
80969.94,debt_consolidation,20000,21.85
250000,credit_card,15000,9.92
50000,debt_consolidation,20000,13.59
60000,credit_card,12000,21.45
45000,debt_consolidation,15000,7.97
80000,debt_consolidation,10000,6.72
50000,debt_consolidation,13000,14.07
18000,home_improvement,10000,15.04
96000,debt_consolidation,14000,19.03
150000,home_improvement,20000,6.72
80000,credit_card,8000,7.97
39000,debt_consolidation,12000,13.59
144000,debt_consolidation,35000,25.81
165000,credit_card,23000,9.43
77100,debt_consolidation,14000,15.04
40000,debt_consolidation,12000,6.72
135000,debt_consolidation,11000,19.03
39000,debt_consolidation,8000,19.03
60000,credit_card,3000,5.31
70000,credit_card,4500,7.97
63950,credit_card,17000,5.32
56000,credit_card,5000,10.42
60000,debt_consolidation,5000,10.91
145000,home_improvement,24000,13.59
210000,credit_card,16000,7.35
106000,credit_card,12500,7.35
35000,debt_consolidation,10000,9.44
42000,credit_card,12000,10.42
58000,debt_consolidation,20000,17.47
200000,credit_card,28200,26.3
38000,home_improvement,5000,6.07
74000,debt_consolidation,16000,7.97
33000,debt_consolidation,5300,19.03
30000,debt_consolidation,9600,10.41
82500,debt_consolidation,5000,9.44
48500,debt_consolidation,16000,11.99
75000,credit_card,19000,16.02
55000,credit_card,15000,19.03
72720,debt_consolidation,14800,22.91
52000,credit_card,14000,5.31
45000,debt_consolidation,10000,10.42
45000,debt_consolidation,3500,15.05
44240,debt_consolidation,20000,16.02
26000,credit_card,8000,18.45
45000,home_improvement,20000,23.87
86000,debt_consolidation,34000,9.93
73000,debt_consolidation,15000,19.03
55200,debt_consolidation,8000,15.04
33000,debt_consolidation,10000,9.93
80000,debt_consolidation,18000,13.58
50000,credit_card,11200,5.31
67000,debt_consolidation,6000,7.96
120000,debt_consolidation,15000,9.93
50000,credit_card,24000,9.93
55000,debt_consolidation,6500,10.41
92000,credit_card,24000,15.05
50000,credit_card,14400,16.01
45000,debt_consolidation,14400,9.92
34000,debt_consolidation,10000,10.91
81000,debt_consolidation,12000,17.09
105000,debt_consolidation,24000,28.72
81000,debt_consolidation,28000,18.45
39000,debt_consolidation,14000,21.45
45000,debt_consolidation,8500,7.96
68000,debt_consolidation,20000,13.59
42000,credit_card,10000,6.71
233000,credit_card,35000,15.05
103500,credit_card,10700,23.87
40000,credit_card,10000,10.9
65000,credit_card,5500,10.9
110000,credit_card,34000,13.59
119568,debt_consolidation,10000,15.04
65000,credit_card,30000,25.82
45000,home_improvement,7000,9.44
30000,debt_consolidation,15000,16.02
25000,home_improvement,3000,6.72
47000,debt_consolidation,10050,16.01
100000,debt_consolidation,13000,7.97
150000,debt_consolidation,35000,17.47
60000,credit_card,7200,10.42
95000,debt_consolidation,6000,10.42
43611,credit_card,20000,10.9
320000,debt_consolidation,16000,17.09
62000,debt_consolidation,6000,13.58
36000,debt_consolidation,15000,16.02
26000,debt_consolidation,10000,17.09
33000,debt_consolidation,15000,19.03
200000,credit_card,25000,5.32
150000,debt_consolidation,24725,6.08
160000,credit_card,34000,9.93
115000,credit_card,20000,13.58
150000,debt_consolidation,28000,9.92
89000,credit_card,20000,16.02
40000,credit_card,12800,9.44
167000,credit_card,35000,19.03
45000,debt_consolidation,10400,6.72
42000,debt_consolidation,20000,13.58
95000,debt_consolidation,17000,9.93
120000,debt_consolidation,25000,9.93
50000,debt_consolidation,20000,15.04
50000,debt_consolidation,24000,26.77
64000,home_improvement,15000,11.99
40000,debt_consolidation,6500,10.91
25000,debt_consolidation,21600,18.45
62000,debt_consolidation,22000,9.44
135000,debt_consolidation,12800,21.85
100000,debt_consolidation,21000,15.04
120000,debt_consolidation,20000,18.06
59000,debt_consolidation,12500,11.98
70000,debt_consolidation,24000,14.07
70000,debt_consolidation,18000,14.07
42000,debt_consolidation,30000,19.03
109000,debt_consolidation,9000,9.44
135000,debt_consolidation,24000,11.99
55000,debt_consolidation,4000,18.45
84000,credit_card,8800,9.92
70540,credit_card,8000,10.91
52000,debt_consolidation,12000,21.45
65000,debt_consolidation,10800,6.71
52000,credit_card,10000,15.04
58000,credit_card,17000,9.44
38000,debt_consolidation,10000,10.91
38000,debt_consolidation,9800,18.06
70000,credit_card,25000,9.44
62000,credit_card,10000,11.98
100000,debt_consolidation,15000,21.45
120000,debt_consolidation,12150,15.04
44000,debt_consolidation,20000,16.02
58142,debt_consolidation,15000,16.02
52000,credit_card,21600,6.71
82000,credit_card,40000,9.44
85000,credit_card,30000,6.07
190000,debt_consolidation,40000,7.35
38000,debt_consolidation,25000,16.02
65000,home_improvement,8000,17.09
75000,credit_card,23000,30.79
45000,debt_consolidation,14000,9.93
26000,debt_consolidation,2000,11.99
39000,credit_card,12000,16.02
34000,credit_card,2400,10.42
75000,credit_card,20000,5.31
82000,home_improvement,17000,9.93
93300,credit_card,19200,14.07
74500,debt_consolidation,7000,6.08
65000,credit_card,9500,10.42
19000,debt_consolidation,7000,6.71
45000,debt_consolidation,4000,6.72
65000,home_improvement,5000,9.43
58544,debt_consolidation,30000,10.42
85000,credit_card,20000,10.91
50000,credit_card,10000,11.98
42780,debt_consolidation,20000,18.06
65000,credit_card,5000,10.91
115942,debt_consolidation,34800,13.59
40000,credit_card,10000,13.59
77000,debt_consolidation,23000,9.92
25000,debt_consolidation,12000,15.05
51000,debt_consolidation,12000,15.04
40000,credit_card,10000,9.93
100000,debt_consolidation,30000,5.32
37400,credit_card,10000,7.34
34000,debt_consolidation,3000,7.96
75000,credit_card,30000,7.35
101000,debt_consolidation,40000,10.42
145000,credit_card,21000,10.91
56000,debt_consolidation,4500,21.45
104000,debt_consolidation,34000,10.42
49500,debt_consolidation,10000,10.42
85000,debt_consolidation,21075,20
90000,home_improvement,20000,7.97
67000,debt_consolidation,12800,6.71
90000,debt_consolidation,15000,15.05
89000,debt_consolidation,30000,16.01
49000,debt_consolidation,5000,17.09
35000,credit_card,7000,7.97
54269,debt_consolidation,21150,25.81
60000,credit_card,6000,9.92
120000,debt_consolidation,16000,13.59
55000,credit_card,4000,6.71
68000,credit_card,16000,11.98
78000,debt_consolidation,16000,16.02
60000,debt_consolidation,16000,7.35
100000,credit_card,12000,10.9
40000,credit_card,6500,11.99
40000,credit_card,16000,17.09
70000,debt_consolidation,12000,6.07
49000,credit_card,7000,13.59
90000,debt_consolidation,20000,15.05
45000,debt_consolidation,4000,16.01
70000,debt_consolidation,10000,17.09
52000,debt_consolidation,5000,5.32
50000,debt_consolidation,6000,17.47
440000,credit_card,24000,9.44
75000,debt_consolidation,27000,11.99
65000,debt_consolidation,30000,16.01
80000,debt_consolidation,26600,20.39
66996,debt_consolidation,22000,5.32
60000,debt_consolidation,8000,7.34
125000,debt_consolidation,20000,20
125000,debt_consolidation,25000,17.09
72000,debt_consolidation,4400,14.08
65000,debt_consolidation,30000,7.97
125000,credit_card,34825,12.61
46000,debt_consolidation,10000,9.44
74000,credit_card,18000,13.59
90000,credit_card,8700,16.02
90000,debt_consolidation,10000,19.03
60000,credit_card,12000,6.71
98000,home_improvement,8000,10.9
22000,credit_card,6000,15.04
165000,debt_consolidation,16000,18.45
72000,credit_card,25000,21.45
85000,debt_consolidation,30000,10.42
166600,credit_card,40000,6.07
106000,credit_card,40000,7.34
115000,debt_consolidation,14000,16.01
35000,debt_consolidation,2700,19.03
130000,debt_consolidation,40000,15.05
45000,credit_card,16000,10.42
75000,home_improvement,28900,28.72
139500,debt_consolidation,24000,9.43
32000,home_improvement,3600,9.44
105000,debt_consolidation,24000,19.03
85000,debt_consolidation,24000,19.42
190000,debt_consolidation,40000,9.43
39000,debt_consolidation,20000,25.82
70000,debt_consolidation,24400,13.59
48589,debt_consolidation,12000,24.85
58000,debt_consolidation,12000,26.3
40000,debt_consolidation,24000,25.82
125000,debt_consolidation,24000,5.32
30000,debt_consolidation,12000,25.82
65000,debt_consolidation,12000,9.93
56000,home_improvement,15000,11.99
110000,credit_card,35000,24.85
163000,debt_consolidation,16000,6.08
35000,home_improvement,24000,15.05
25000,debt_consolidation,4000,17.09
74000,home_improvement,6500,14.07
65000,debt_consolidation,15000,10.41
90000,home_improvement,34000,10.9
108000,debt_consolidation,35000,9.43
90000,debt_consolidation,13000,7.35
60000,credit_card,10000,6.08
41000,debt_consolidation,21650,11.98
100000,debt_consolidation,8400,11.98
80000,debt_consolidation,20000,11.99
80000,debt_consolidation,10000,17.09
180000,debt_consolidation,8400,18.45
95000,debt_consolidation,16000,20
39000,debt_consolidation,8000,24.84
75000,credit_card,20000,17.47
62000,debt_consolidation,15000,7.97
75000,debt_consolidation,17000,10.9
285000,debt_consolidation,10000,6.07
41000,credit_card,12000,6.08
37000,debt_consolidation,5000,7.34
71500,debt_consolidation,16175,30.75
52000,debt_consolidation,12675,10.41
34000,debt_consolidation,7200,10.91
100000,credit_card,40000,7.35
88000,debt_consolidation,13600,16.02
96000,credit_card,28000,9.43
40000,debt_consolidation,15000,10.91
72000,debt_consolidation,20000,16.02
50000,credit_card,7150,6.07
110000,credit_card,7000,6.07
95000,credit_card,10000,6.08
72000,credit_card,1800,10.91
80000,credit_card,8000,7.34
64000,debt_consolidation,35000,16.01
29000,debt_consolidation,8000,14.08
75000,credit_card,25000,15.05
61000,debt_consolidation,15000,7.34
42000,debt_consolidation,15000,10.91
93500,debt_consolidation,20000,14.07
40000,debt_consolidation,15000,17.09
87500,home_improvement,8000,13.58
33395,debt_consolidation,4800,14.07
60000,debt_consolidation,12000,16.01
80000,debt_consolidation,18000,6.71
90000,debt_consolidation,25000,15.04
80000,debt_consolidation,11100,21.85
80000,debt_consolidation,35000,29.69
15000,credit_card,5000,11.99
66000,credit_card,12800,10.91
108000,debt_consolidation,40000,12.61
35000,debt_consolidation,16000,16.01
58000,debt_consolidation,15000,18.06
80000,debt_consolidation,30000,25.82
64000,debt_consolidation,15000,11.99
50000,debt_consolidation,7475,18.06
99000,debt_consolidation,30000,9.93
60000,debt_consolidation,15000,20
23000,credit_card,3600,14.08
114000,debt_consolidation,35000,15.05
110000,debt_consolidation,28000,21.45
68000,home_improvement,22000,5.32
60000,credit_card,13000,13.59
110000,debt_consolidation,40000,9.93
145000,debt_consolidation,10700,10.9
52000,debt_consolidation,20000,19.03
50000,debt_consolidation,20000,7.97
120000,debt_consolidation,10000,6.72
29000,credit_card,3000,17.47
101000,home_improvement,20000,11.98
50000,credit_card,14000,18.45
271000,debt_consolidation,19450,21.45
72000,debt_consolidation,25000,7.97
48000,credit_card,20000,9.44
70000,credit_card,5500,9.92
54000,debt_consolidation,6500,6.08
99000,credit_card,15000,11.98
155000,debt_consolidation,12000,24.85
87000,debt_consolidation,21000,15.04
27000,debt_consolidation,10000,17.47
77000,debt_consolidation,25000,26.3
110000,credit_card,12000,6.07
42000,debt_consolidation,18500,6.08
51000,credit_card,20000,6.72
65000,debt_consolidation,20000,9.93
39910,debt_consolidation,10000,11.99
78000,credit_card,7400,11.99
67000,debt_consolidation,11000,16.01
110000,credit_card,15000,6.07
108000,debt_consolidation,35000,7.35
71000,debt_consolidation,25000,9.43
43000,credit_card,6000,15.04
65000,credit_card,15000,13.58
37000,debt_consolidation,12800,7.35
46000,credit_card,4800,14.08
65000,credit_card,18000,15.05
66000,credit_card,15000,5.32
165000,debt_consolidation,28000,12.61
142000,home_improvement,30000,16.02
48000,debt_consolidation,10000,17.47
44000,debt_consolidation,7200,7.34
45000,credit_card,10000,9.93
90000,debt_consolidation,40000,16.01
22800,debt_consolidation,21000,16.01
32000,debt_consolidation,12900,16.02
81000,debt_consolidation,15000,18.45
55000,debt_consolidation,7325,11.99
140000,debt_consolidation,27000,5.32
128500,debt_consolidation,24000,6.72
55000,home_improvement,5600,9.43
94000,debt_consolidation,40000,13.59
63000,credit_card,14000,20.39
42000,home_improvement,20000,13.58
225000,debt_consolidation,40000,5.31
120000,debt_consolidation,19000,9.43
128000,debt_consolidation,30000,9.93
200000,debt_consolidation,25000,7.34
82500,credit_card,7500,9.92
150000,home_improvement,25000,10.9
54000,credit_card,10000,9.44
35000,debt_consolidation,9100,25.82
58000,debt_consolidation,4000,7.97
80000,credit_card,25000,11.99
63695,debt_consolidation,20000,19.03
70000,credit_card,12000,28.72
103000,debt_consolidation,20000,9.43
30000,debt_consolidation,17600,9.43
50000,debt_consolidation,12000,9.44
120000,debt_consolidation,35000,10.42
80000,debt_consolidation,27000,10.42
63000,debt_consolidation,21000,18.06
56000,debt_consolidation,10000,16.01
73000,debt_consolidation,18000,28.72
75000,debt_consolidation,16800,10.91
161000,credit_card,35000,17.09
120000,debt_consolidation,20000,7.35
83000,credit_card,20000,10.91
107000,debt_consolidation,8500,16.02
64000,debt_consolidation,34000,9.93
85000,debt_consolidation,18000,11.98
75000,debt_consolidation,15000,16.01
83000,home_improvement,10000,6.07
65000,debt_consolidation,34000,9.93
135000,debt_consolidation,20000,9.93
55000,debt_consolidation,15000,10.42
100203,debt_consolidation,12000,11.99
23500,debt_consolidation,12000,7.34
41000,credit_card,16000,7.97
106000,credit_card,20000,9.93
80000,home_improvement,3000,13.59
65000,debt_consolidation,29500,7.34
40000,credit_card,30000,21.85
86000,debt_consolidation,16000,6.72
83000,credit_card,30000,9.44
80000,credit_card,15000,9.44
70000,debt_consolidation,15000,7.35
65000,credit_card,12000,10.41
72000,debt_consolidation,30000,28.72
86000,debt_consolidation,40000,5.32
73000,debt_consolidation,4550,9.44
68000,home_improvement,12600,11.98
45000,debt_consolidation,5000,13.59
76000,credit_card,30000,6.71
100000,debt_consolidation,21000,9.92
65000,debt_consolidation,20000,14.07
85000,debt_consolidation,15500,17.47
85500,debt_consolidation,13000,6.71
102000,credit_card,34000,9.44
58000,debt_consolidation,25000,9.92
18700,debt_consolidation,10000,10.91
62400,debt_consolidation,9500,6.72
63000,credit_card,13000,7.97
80000,credit_card,28000,15.04
80000,credit_card,12000,21.45
44346,debt_consolidation,4800,23.87
46500,credit_card,10000,6.71
142000,debt_consolidation,40000,6.08
110000,debt_consolidation,24000,13.59
74895,debt_consolidation,30000,15.05
156000,credit_card,35000,16.02
44000,debt_consolidation,18000,11.99
90000,credit_card,24000,9.93
34000,debt_consolidation,4000,14.07
85000,debt_consolidation,20000,17.47
19582.09,debt_consolidation,10200,18.06
114000,credit_card,18000,10.9
70866,debt_consolidation,12000,13.59
98000,debt_consolidation,20000,6.72
90000,credit_card,10000,10.42
85000,debt_consolidation,20000,11.99
75000,debt_consolidation,15000,13.59
48450,debt_consolidation,8000,17.09
96000,debt_consolidation,16000,9.44
77017,home_improvement,28500,17.47
70000,home_improvement,15000,9.44
60200,debt_consolidation,19000,10.41
185000,credit_card,24000,10.9
92000,debt_consolidation,35000,20
60000,credit_card,16000,25.82
165000,home_improvement,25000,6.07
155555,debt_consolidation,15000,10.41
52000,debt_consolidation,6000,15.05
95000,debt_consolidation,8000,21.85
75000,debt_consolidation,20000,9.92
42000,debt_consolidation,6000,9.92
77000,credit_card,15000,10.42
75000,debt_consolidation,30000,18.45
48000,debt_consolidation,10000,6.08
130000,credit_card,8000,11.98
78000,debt_consolidation,15000,9.93
45000,debt_consolidation,6000,9.93
107000,debt_consolidation,30000,23.87
47611.2,debt_consolidation,11200,20.39
70000,debt_consolidation,14500,6.71
60000,debt_consolidation,27000,11.98
72000,home_improvement,5000,22.91
75000,debt_consolidation,6000,13.58
60000,debt_consolidation,25000,20.39
55000,debt_consolidation,7000,6.08
125381,credit_card,40000,14.08
50000,credit_card,7000,11.98
25000,credit_card,12000,11.99
60000,credit_card,10000,6.72
44000,credit_card,17500,11.99
71000,debt_consolidation,30000,18.06
70000,debt_consolidation,15000,7.34
75000,credit_card,20000,18.45
45000,debt_consolidation,20000,10.42
80000,credit_card,30000,11.99
78000,debt_consolidation,21700,14.07
87000,credit_card,19000,6.72
60000,debt_consolidation,12000,10.9
85000,debt_consolidation,15000,15.05
68000,home_improvement,30000,25.81
79000,credit_card,40000,7.35
53000,debt_consolidation,10000,16.02
65000,debt_consolidation,20000,9.92
150000,credit_card,40000,10.42
37000,credit_card,8400,11.99
90000,credit_card,15000,6.08
90666,credit_card,15000,9.43
100000,credit_card,16000,6.07
44500,debt_consolidation,17000,20
54000,credit_card,6000,6.08
54000,debt_consolidation,20000,7.34
34000,credit_card,11850,9.43
84000,home_improvement,10000,16.02
90000,debt_consolidation,35000,18.45
56000,debt_consolidation,4800,16.01
125000,debt_consolidation,10000,7.96
59182,credit_card,19000,9.44
166000,credit_card,40000,10.91
30000,credit_card,8000,14.07
30000,home_improvement,3000,15.05
32500,debt_consolidation,6500,6.71
75000,credit_card,35000,10.41
48000,debt_consolidation,26250,9.43
103000,debt_consolidation,25000,10.9
75000,home_improvement,6000,11.99
62000,debt_consolidation,27900,16.02
76000,credit_card,30000,10.9
150000,credit_card,40000,11.98
65000,home_improvement,12000,9.92
60000,debt_consolidation,14000,11.98
80000,credit_card,16000,11.98
94000,debt_consolidation,2400,19.03
71000,credit_card,12000,5.32
130000,debt_consolidation,24200,9.43
81000,debt_consolidation,25000,9.93
45000,debt_consolidation,20000,10.42
92000,credit_card,15000,10.91
67000,home_improvement,6400,9.92
33000,debt_consolidation,6000,9.92
96000,credit_card,30000,10.41
91000,home_improvement,34000,11.98
63000,credit_card,9600,14.08
62000,debt_consolidation,30000,20
43000,debt_consolidation,5000,9.93
125000,debt_consolidation,7000,16.02
44500,debt_consolidation,7000,5.31
87000,debt_consolidation,4800,9.44
69000,debt_consolidation,16000,18.06
100000,credit_card,30000,10.91
60000,home_improvement,35000,21.45
95731,debt_consolidation,23000,30.79
61000,credit_card,20000,7.97
95000,debt_consolidation,40000,9.43
65000,credit_card,30000,16.01
65000,debt_consolidation,25000,18.06
47700,home_improvement,12000,11.99
60000,debt_consolidation,22000,15.05
40000,debt_consolidation,10000,19.03
82000,debt_consolidation,15000,10.9
100000,debt_consolidation,21000,15.05
54024,debt_consolidation,4800,16.02
220500,debt_consolidation,40000,10.42
35000,debt_consolidation,12000,11.98
62200,debt_consolidation,26400,14.07
91000,credit_card,34000,11.98
68000,debt_consolidation,6500,6.07
60000,credit_card,9600,21.85
65000,debt_consolidation,12000,5.32
90000,home_improvement,5000,6.08
110000,debt_consolidation,30000,18.45
76000,debt_consolidation,18000,19.42
107000,debt_consolidation,40000,16.02
86000,credit_card,30000,19.03
42000,debt_consolidation,16000,22.91
240000,home_improvement,15000,5.31
90000,debt_consolidation,33600,13.59
150000,home_improvement,19375,26.3
120000,credit_card,25000,15.05
5235,debt_consolidation,3000,10.9
90000,debt_consolidation,27000,6.72
150000,debt_consolidation,33900,9.92
45000,credit_card,6500,10.41
38000,debt_consolidation,7225,13.58
47800,credit_card,8000,13.59
55000,debt_consolidation,23000,18.06
130000,debt_consolidation,40000,9.43
40000,debt_consolidation,16000,25.82
120000,credit_card,12000,9.93
35000,debt_consolidation,10000,10.9
52000,credit_card,8000,10.91
44000,credit_card,7000,6.08
60000,credit_card,10000,10.91
55000,credit_card,4000,11.98
112500,debt_consolidation,30000,11.99
220000,debt_consolidation,21125,13.58
115000,credit_card,12600,13.59
78000,credit_card,6000,16.01
130000,debt_consolidation,20000,21.45
105000,credit_card,22000,11.98
48000,credit_card,14000,6.07
139000,home_improvement,7200,6.07
32000,debt_consolidation,25000,20
33000,debt_consolidation,3200,7.34
70000,debt_consolidation,34000,16.01
50000,debt_consolidation,6800,6.71
70000,debt_consolidation,9000,7.97
76000,debt_consolidation,10000,10.41
138000,credit_card,35000,14.07
60000,debt_consolidation,15000,6.72
43500,debt_consolidation,7800,7.34
100000,debt_consolidation,10000,13.59
290000,debt_consolidation,29175,16.02
36000,debt_consolidation,10800,17.47
28000,debt_consolidation,10000,18.06
80000,debt_consolidation,17000,5.32
110000,debt_consolidation,25000,6.71
51000,credit_card,15000,10.91
60000,debt_consolidation,34000,9.44
330000,debt_consolidation,34000,13.59
79000,debt_consolidation,3600,20
75000,debt_consolidation,18000,6.08
92000,debt_consolidation,9000,11.98
312221,debt_consolidation,20000,6.72
110000,credit_card,20000,10.91
30000,debt_consolidation,7500,14.07
93000,home_improvement,26475,16.02
80000,debt_consolidation,34000,21.45
60000,credit_card,12000,10.91
60000,debt_consolidation,20000,18.45
41000,credit_card,11000,20.39
78000,debt_consolidation,10000,7.96
68000,debt_consolidation,16000,9.43
110000,debt_consolidation,13000,9.92
375000,debt_consolidation,30000,6.72
125000,debt_consolidation,12000,9.93
85000,debt_consolidation,35000,7.34
60000,home_improvement,6000,10.42
69000,debt_consolidation,12000,10.42
90000,credit_card,15000,16.02
96000,debt_consolidation,12000,21.45
54000,debt_consolidation,4000,6.07
68000,debt_consolidation,12500,11.99
36025,debt_consolidation,6500,13.59
168500,debt_consolidation,20000,15.04
115000,home_improvement,15000,5.31
33000,home_improvement,1800,6.07
275000,debt_consolidation,8000,13.59
54000,debt_consolidation,10000,17.09
47840,debt_consolidation,4500,10.42
85000,home_improvement,20000,16.02
28800,debt_consolidation,3000,17.09
94500,debt_consolidation,10000,6.08
49992,credit_card,15000,10.41
55000,debt_consolidation,7000,10.42
57000,debt_consolidation,7000,19.42
60000,debt_consolidation,30000,26.3
72400,debt_consolidation,20000,5.32
39000,home_improvement,27000,16.01
75000,debt_consolidation,30000,23.88
170000,credit_card,23000,7.35
80000,credit_card,18000,9.44
146000,home_improvement,22000,9.93
51000,debt_consolidation,5200,18.45
40552,debt_consolidation,12500,7.97
70000,credit_card,10000,5.31
220000,debt_consolidation,35000,15.04
86000,debt_consolidation,5000,15.05
67000,debt_consolidation,5000,7.34
30000,debt_consolidation,15500,10.41
82416,home_improvement,30000,15.05
63000,credit_card,12000,10.91
61000,debt_consolidation,7200,13.59
70000,debt_consolidation,15000,7.35
35000,debt_consolidation,7200,15.04
40000,credit_card,6300,13.59
85000,debt_consolidation,22000,25.82
60000,credit_card,11700,19.03
36000,debt_consolidation,6500,7.96
74644,debt_consolidation,35000,21.85
35000,credit_card,10000,15.05
34000,debt_consolidation,10000,15.05
118000,debt_consolidation,40000,10.42
110000,debt_consolidation,34000,14.07
240000,credit_card,40000,10.91
150000,credit_card,20000,13.58
22772.25,debt_consolidation,10000,7.96
47000,debt_consolidation,5000,7.97
55000,credit_card,11700,11.99
30000,credit_card,6400,6.71
76000,debt_consolidation,28000,17.09
32000,debt_consolidation,5000,18.45
130000,debt_consolidation,16000,5.32
80000,credit_card,15000,6.08
110500,debt_consolidation,12000,13.59
75000,debt_consolidation,40000,6.72
69000,credit_card,22000,6.72
80000,debt_consolidation,20000,13.59
65000,debt_consolidation,12000,6.72
24000,home_improvement,4500,6.72
55000,credit_card,8000,10.9
122000,debt_consolidation,30000,10.9
65000,debt_consolidation,6500,10.42
41000,debt_consolidation,5000,15.04
92600,debt_consolidation,40000,10.91
124000,debt_consolidation,40000,11.98
92000,home_improvement,12500,24.85
150000,debt_consolidation,22500,5.31
50000,credit_card,5000,7.97
71000,credit_card,5000,9.43
60000,debt_consolidation,18000,13.59
75000,credit_card,25000,15.05
65000,debt_consolidation,27000,16.02
48000,credit_card,11000,17.09
42000,debt_consolidation,17000,28.72
100000,debt_consolidation,14000,9.92
36000,debt_consolidation,8000,14.08
70000,home_improvement,4800,9.43
74000,credit_card,30000,10.9
100000,debt_consolidation,30000,10.9
125000,credit_card,35000,16.01
137200,credit_card,35000,6.72
52000,credit_card,20000,16.02
72800,debt_consolidation,20000,11.99
92000,debt_consolidation,23000,15.04
20000,debt_consolidation,5400,15.05
120000,credit_card,12000,5.31
115000,debt_consolidation,20000,22.91
183000,debt_consolidation,7200,6.72
65000,debt_consolidation,20000,10.91
110000,debt_consolidation,30000,6.72
50000,credit_card,14000,16.02
48200,debt_consolidation,10000,17.09
72000,credit_card,14000,13.58
110000,debt_consolidation,10000,15.04
45000,debt_consolidation,10000,17.47
155000,debt_consolidation,30000,10.9
48000,debt_consolidation,15000,13.59
55200,credit_card,16000,6.08
55000,credit_card,14400,10.9
106000,home_improvement,5500,10.9
35000,home_improvement,20000,13.59
35000,debt_consolidation,20000,16.02
96000,debt_consolidation,19000,18.06
96000,home_improvement,25000,21.85
89000,credit_card,19600,5.32
75000,debt_consolidation,20000,7.34
90000,home_improvement,15000,5.32
98000,debt_consolidation,29825,9.93
50000,credit_card,12000,11.99
71000,debt_consolidation,6400,7.97
97000,credit_card,25000,11.99
26000,debt_consolidation,3200,18.45
